;СОУН;Объект ФНС России;Тип оборудования;Производитель;Модель;Серийный номер;Сервисный номер 2017;Инвентарный номер;Год выпуска;Гарантия;;
!;7700;УФНС России по Москве;Рабочая станция (Тип 0);Lenovo;Edge 72 Tower (модель 3492);PB4NX93 ;77000-0-00-1S34921B4PB4NX93 ;101340219186;2013;01.09.2018;!;!
!;7700;УФНС России по Москве;Рабочая станция (Тип 0);Lenovo;Edge 72 Tower (модель 3492);PB1YV79  ; 77000-5-5-71-PB1YV79  ;101340219185;2013;01.09.2018;!;!
!;7700;УФНС России по Москве;Рабочая станция (Тип 0);Lenovo;Edge 72 Tower (модель 3492);PB1YV80 ;  77000-0-00-1S34921B4PB1YV80 ;101340219130;2013;01.09.2018;!;!
!;7700;УФНС России по Москве;Рабочая станция (Тип 0);Lenovo;Edge 72 Tower (модель 3492);PB1YV81 ;77000-3-3-59-PB1YV81 ;101340219175;2013;01.09.2018;!;!
!;7700;УФНС России по Москве;Рабочая станция (Тип 0);Lenovo;Edge 72 Tower (модель 3492);PB1YV82;77000-4-4-51-PB1YV82;101340219198;2013;01.09.2018;!;!
!;7700;УФНС России по Москве;Рабочая станция (Тип 0);Lenovo;Edge 72 Tower (модель 3492);PB1YV83;77000-6-6-15-PB1YV83;101340219196;2013;01.09.2018;!;!
!;7700;УФНС России по Москве;Рабочая станция (Тип 0);Lenovo;Edge 72 Tower (модель 3492);PB1YV84;77000-5-5-42-PB1YV84;101340219195;2013;01.09.2018;!;!
!;7700;УФНС России по Москве;Рабочая станция (Тип 0);Lenovo;Edge 72 Tower (модель 3492);PB1YV88 ;77000-1-1-06-PB1YV88 ;101340219197;2013;01.09.2018;!;!
!;7700;УФНС России по Москве;Рабочая станция (Тип 0);Lenovo;Edge 72 Tower (модель 3492);PB1YV91;77000-5-5-86-PB1YV91;101340219192;2013;01.09.2018;!;!
!;7700;УФНС России по Москве;Рабочая станция (Тип 0);Lenovo;Edge 72 Tower (модель 3492);PB1YV92 ;77000-0-00-1S34921B4PB1YV92 ;101340219193;2013;01.09.2018;!;!
!;7700;УФНС России по Москве;Рабочая станция (Тип 0);Lenovo;Edge 72 Tower (модель 3492);PB1YV93 ;77000-1-1-68-PB1YV93 ;101340219172;2013;01.09.2018;!;!
